epoch,loss
0,0.9924059510231018
1,0.9918705224990845
2,0.8787548542022705
3,0.6622858047485352
4,0.6517095565795898
5,0.4245242178440094
6,0.35960566997528076
7,0.3357897102832794
8,0.28729352355003357
9,0.26282045245170593
10,0.27650025486946106
11,0.24133317172527313
12,0.2279997020959854
13,0.23548267781734467
14,0.2324741929769516
15,0.2250785231590271
16,0.21976743638515472
17,0.21989986300468445
18,0.21177257597446442
19,0.20110276341438293
20,0.19906534254550934
21,0.1936497837305069
22,0.1834297776222229
23,0.18149897456169128
24,0.17842108011245728
25,0.17279182374477386
26,0.17187559604644775
27,0.16531498730182648
28,0.16081346571445465
29,0.15696439146995544
30,0.15269936621189117
31,0.14815053343772888
32,0.1466565728187561
33,0.1420760154724121
34,0.14031822979450226
35,0.13767580687999725
36,0.13438278436660767
37,0.13217103481292725
38,0.12937992811203003
39,0.12754634022712708
40,0.1259097158908844
41,0.12368304282426834
42,0.12166968733072281
43,0.1196175068616867
44,0.11706472188234329
45,0.11463448405265808
46,0.1117590069770813
47,0.10871969908475876
48,0.1055450364947319
49,0.10232395678758621
