,dataset_name,RI,ARI,NMI
0,ACSF1,0.3088442211055276,0.015300894812734028,0.18461452466620634
1,Adiac,0.8727502544403953,0.12151617696728013,0.49034797865978025
2,ArrowHead,0.5716993906567366,0.19049910504066886,0.29782005950601537
3,Beef,0.5926553672316384,0.03484968803176404,0.2271910916401249
4,Coffee,0.5012987012987012,0.015782825130691378,0.090331584478093
